,trip_id,arrival_time,departure_time,line_index,shape_dist_traveled,time_diff,speed,dist_diff,code,direction_id,day_date,stop_code_d,stop_code_a,departure_delay,arrival_delay,temperature_line,app_temp_line,rain_line,snow_fall_line,snow_depth_line,humidity_line,precipitation_line,wmo_code_line,wind_speed_10m_line,wind_speed_100m_line,wind_dir_10m_line,wind_dir_100m_line,wind_gusts_line,soil_temperature_line,isArrivalDelay,isDepartureDelay
118,121,185400,185000,1,2.62308,0.07,39.0,2.62,18595,0,20210805,6500,6501,1,2,23.0,23.35,0.0,0.0,0.0,69.0,0.0,0.0,11.0,20.0,253.0,254.0,39.0,26.0,1.0,1.0
119,121,190000,185500,2,8.69727,0.08,73.0,6.07,18595,0,20210805,6501,6400,1,1,23.0,23.35,0.0,0.0,0.0,70.0,0.0,0.0,12.0,20.0,252.0,254.0,43.0,25.0,1.0,1.0
120,121,190700,190100,3,15.51342,0.1,68.0,6.82,18595,0,20210805,6400,6402,8,6,22.0,23.25,0.0,0.0,0.0,74.0,0.0,0.0,12.0,21.0,248.0,250.0,41.0,25.0,1.0,1.0
121,121,191700,190800,4,23.53195,0.15,53.0,8.02,18595,0,20210805,6402,6404,6,6,22.0,23.15,0.0,0.0,0.0,76.0,0.0,1.0,13.0,21.0,246.0,247.0,36.0,24.0,1.0,1.0
122,123,215400,215000,1,2.62308,0.07,39.0,2.62,18605,0,20210805,6500,6501,6,5,20.0,21.35,0.0,0.0,0.0,83.0,0.0,1.0,8.0,13.0,225.0,250.0,13.0,23.0,1.0,1.0
123,123,220000,215500,2,8.69727,0.08,73.0,6.07,18605,0,20210805,6501,6400,5,4,21.0,22.25,0.0,0.0,0.0,80.0,0.0,1.0,6.0,11.0,233.0,252.0,18.0,23.0,1.0,1.0
124,123,220700,220100,3,15.51342,0.1,68.0,6.82,18605,0,20210805,6400,6402,5,3,21.0,22.35,0.0,0.0,0.0,82.0,0.0,1.0,6.0,11.0,241.0,248.0,19.0,22.0,1.0,1.0
125,123,221700,220800,4,23.53195,0.15,53.0,8.02,18605,0,20210805,6402,6404,3,1,20.0,21.55,0.0,0.0,0.0,89.0,0.0,1.0,7.0,12.0,241.0,241.0,15.0,22.0,1.0,1.0
126,124,174800,174200,1,8.01853,0.1,80.0,8.02,18594,0,20210805,6404,6402,2,2,23.0,22.9,0.0,0.0,0.0,74.0,0.0,1.0,18.0,25.0,249.0,249.0,41.0,25.0,1.0,1.0
127,124,175700,174900,2,14.83468,0.13,51.0,6.82,18594,0,20210805,6402,6400,2,1,23.0,22.95,0.05,0.0,0.0,71.0,0.05,26.0,18.0,26.0,250.0,250.0,45.0,25.0,1.0,1.0
128,124,180700,175800,3,20.90887,0.15,40.0,6.07,18594,0,20210805,6400,6501,6,1,23.0,23.0,0.1,0.0,0.0,67.0,0.1,51.0,18.0,27.0,250.0,250.0,47.0,26.0,1.0,1.0
129,124,181300,180800,4,23.53195,0.08,31.0,2.62,18594,0,20210805,6501,6500,1,0,23.0,23.0,0.1,0.0,0.0,66.0,0.1,51.0,19.0,28.0,248.0,249.0,44.0,26.0,0.0,1.0
130,125,204800,204200,1,8.01853,0.1,80.0,8.02,18606,0,20210805,6404,6402,1,0,21.0,22.65,0.0,0.0,0.0,80.0,0.0,0.0,8.0,17.0,245.0,245.0,20.0,23.0,0.0,1.0
131,125,205700,204900,2,14.83468,0.13,51.0,6.82,18606,0,20210805,6402,6400,0,0,21.0,22.45,0.0,0.0,0.0,82.0,0.0,0.0,6.0,15.0,247.0,248.0,22.0,23.0,0.0,0.0
132,125,210800,205800,3,20.90887,0.17,36.0,6.07,18606,0,20210805,6400,6501,1,0,21.0,22.299999999999997,0.0,0.0,0.0,80.0,0.0,0.0,5.0,15.0,248.0,253.0,19.0,24.0,0.0,1.0
133,125,211300,210900,4,23.53195,0.07,39.0,2.62,18606,0,20210805,6501,6500,1,0,21.0,22.4,0.0,0.0,0.0,78.0,0.0,0.0,6.0,16.0,247.0,254.0,14.0,24.0,0.0,1.0
